item_id,item_name,seller_name,cost,no_seller,no_customer_reviews,product_rating
6122,Collectible India Large Ganesh Idol Showpiece Figurine Brass Sculpture Ganesha Statue Diwali Gifts,Collectible India1 offerfrom ,"7,900",1,1,5
6123,"Single Piece Ethnic Treat Latest Handicraft, Home Decor, Antique handicrafts, 1 Silver Box LxBxH: 2.5x2.5x3 inches...",Ethnic Treat1 offerfrom ,549,1,0,0
6124,"Set of 8 Ethnic Treat Latest Handicraft, Home Decor, Antique handicrafts, 1 Tray, 1 Surahi, 6 Glasses Glasses...",Ethnic Treat1 offerfrom ,"1,999",1,0,0
6125,Bagru Crafts Rajasthani Handicrafts NATIONAL BIRD Dancing Peacock Hand Made Antique Show Piece with Colorful Feathers...,Bagru Crafts,230,1,0,0
6126,Dream Catcher ,Rooh Wellness- Blue and White (large)by Rooh Wellness,959,3,2,3
6127,"Little India Oxidized White Metal Pan Box with Tray  (15.24 cm x 10.16 cm,HCF327)",Little India,349,5,0,0
6128,Handicraft Pitara Kantha saree on Pure Bangalore Silk,Handicraft Pitara1 offerfrom ,"9,995",1,0,0
6129,Kapasi Handicrafts Golden Brass Ram-Darbaar Small,"Kapasi Handicrafts, From India since 19731 offerfrom ",733,1,0,0
6130,"Pitaaraa Jute Designer Shopping Bag (12.7cm x 22.86cm x 15.24cm, PITJUT0062)",Pitaaraa1 offerfrom ,249,1,0,0
6131,Kapasi Handicrafts Multi-Coloured Patti Copper Jhulla Toran,Kapasi Handicrafts,604,1,0,0
6132,"Kapasi Handicrafts Flower Pot with Golden Minakari (LxBXH) (7.62 cms x 7.62 cms x 20.32 cms, Gold)","Kapasi Handicrafts, From India since 1973",604,1,0,0
6133,Store Indya Shoehorn Lifter Handcrafted in Rosewood with Easy Grip Long Brass Handles,Store Indya,820,1,0,0
6134,"Eco friendly Ecoleatherette Handcrafted Magazine Holder, Magaizne Rack Newspaper Holder Newspaper Rack Table Top...",Ecoleatherette,499,1,1,1
6135,National Handicrafts Screen Partition / Room Divider / Saparator / Zafri,National Handicrafts1 offerfrom ,"5,751",1,0,0
6136,Gandhi Monkey Set Fine Carved Wood Handicraft -158,SHREEMANGALAMMART1 offerfrom ,249,1,0,0
6137,Pindia Wooden Hand Carved Big Wall Hanging Key Hanger,Pindia,507,1,7,4.4
6138,Jupiter Gifts and Crafts Cane Fruit Vegetable Basket,Jupiter gifts and crafts,389,1,1,3
6139,BRASS MEENAKARI WORK REAL HUKKA,Handicraft Bazaar,499,3,10,2.3
6140,Bharat Haat Brass Elephant Face Door Handle Fine Handicraft Collectible Art 4374,BHARAT HAAT,990,1,0,0
6141,Handmade Box 6 Drawer Ceramic Material Home Decor Table Top Vintage Style Antique Designer Box Masaldani Handicraft...,IndianHandicraftGift1 offerfrom ,"2,499",1,0,0
6142,999Store ganesh hand crafted beautiful painted door hanging home décor handicraft marriage corporate gift ganesha...,999STORE,499,1,0,0
6143,Spangle Premiun Designer Single Quilt,Spangle1 offerfrom ,"3,515",1,0,0
6144,Crafts A to Z Woods Handicrafts Sheesham Wooden Temple / Mandir with Carving,Crafts A to Z,"17,890",1,0,0
6145,Aaina Flower Design with Big Border Wooden Handicraft Gift Box,AAINA1 offerfrom ,"1,040",1,0,0
6146,HD Techno Crafts Rajasthani Handicrafts Hand Made Trunk Up Elephant Showpiece Metal Meenakari Work - 2 Inch,HD Techno1 offerfrom ,349,1,0,0
6147,HD Techno Crafts Indian Rajasthani Handicraft white Metal Cow -3 inch,HD Techno1 offerfrom ,399,1,0,0
6148,Bharat Haat Wooden Peacock fine handicraft Collectible Art 3623,BHARAT HAAT,930,1,0,0
6149,Indian Handicraft Hand Carved Royal Camel Riding Painted Folding Wooden Chairs,Rajasthali,"3,500",1,0,0
6150,Monil Gemstone Painted Keys Letter Holder Handicraft Gemstone Painting,Monil,398,1,0,0
6151,"White Metal Meenakari Cow Handicrafts, Jaipur Gems & Handicrafts2 offersfrom   490.0","ite Metal Meenakari Cow Handicrafts, Jaipur Gems & Handicrafts2 offersfrom ",490,3,0,0
6152,Crafts A to Z Woods Handicrafts Sheesham Wooden Temple / Mandir with Carving,Crafts A to Z,"17,890",1,0,0
6153,Onlineshoppee Wooden Handicraft Wall Decor Designer Wall Shelf Pack of 3 Color-Orange,Onlineshoppee,"1,880",1,0,0
6154,HD Techno Crafts Rajasthani Handicrafts Hand Made Antique Religious Vastu Tortoise With Enameled Colorful Shell...,HD Techno2 offersfrom ,900,3,0,0
6155,Unique Brass Small Beautiful Tortoise Handicraft Fine Finish Art India/Asia,BHARAT HAAT,450,1,0,0
6156,Ratna Handicrafts Colorful Beads Zari Lace Toran,Ratna,799,1,0,0
6157,"Mahadev Handicrafts Jaipuri Handicraft Real Telescope in Brass Leather (290, Black)2 offersfrom   480.0","hadev Handicrafts Jaipuri Handicraft Real Telescope in Brass Leather (290, Black)2 offersfrom ",480,3,0,0
6158,"Brass Tortoise,Turtle,Handicrafts,Pooja Gifts,Collectibles With Shri Yantra",SD Enterprises,445,1,0,0
6159,HD Techno Crafts Rajasthani Handicrafts Hand Made Antique Religious Vastu Tortoise With Enameled Colorful Shell...,HD Techno1 offerfrom ,"2,199",1,0,0
6160,HD Techno Crafts Indian Rajasthani Handicrafts Swastik Leaf Shapped,HD Techno2 offersfrom ,590,3,0,0
6161,Pure Brass Antique Royal Wine Set Handicraft -155,Indigocart,"2,291",1,0,0
6162,Ratna Handicrafts Colorful Crystal Beads Toran,Ratna,799,1,0,0
6163,Rajrang Tea Set Paper Handicrafts Coaster,Rajrang,300,1,0,0
6164,HD Techno Crafts Indian Rajasthani Handicraft white Metal Shahi Horse -8 inch,HD Techno1 offerfrom ,"1,349",1,0,0
6165,Ratna Handicrafts Silver Zari Lace Exclusive Toran,Ratna,799,1,0,0
6166,Bharat Haat Wooden Jwellary Jali Work Elephant fine handicraft Collectible Art 3615,BHARAT HAAT,810,1,0,0
6167,Aradhana Arts Handicraft Designed Decorative Coffee Brown Carving Tissue Holder,Aradhana Arts1 offerfrom ,800,1,0,0
6168,Unique Yellow Brass Metal Handicraft Horse Door Knock Fine Finish Work India/Asia,BHARAT HAAT,"1,650",1,0,0
6169,Wooden Handicraft Rajasthani Bani Thani Ladies Painting,Sovam International1 offerfrom ,520,1,0,0
6170,Jaipur Raga Religious Buddha Statue Carved Wooden Gift Handicraft Gift,Jaipur Raga,498,3,0,0
